title,url,price,review,city
"HP Laptop 14s-dq5000TU Natural silver Laptop Kosumer (66B31PA) /14""""/Intel® Core™ i5-1240P/8 GB /Intel® Iris® Xᵉ Graphics/512 GB SSD/W11",//www.lazada.co.id/products/hp-laptop-14s-dq5000tu-natural-silver-laptop-kosumer-66b31pa-14intel-core-i5-1240p8-gb-intel-iris-x-graphics512-gb-ssdw11-i6606874491.html,Rp10.599.000,,Kota Jakarta Utara
"HP 14s-fq1036AU & 14s-fq1037AU Silver&Gold Laptop Konsumer (463C7PA/463C8PA) / 14"" FHD  / AMD Ryzen™ 7 5700U / 8GB / AMD Radeon™ Graphics / 512GBSSD / W10/ GRATIS UPGRADE W11",//www.lazada.co.id/products/hp-14s-fq1036au-14s-fq1037au-silvergold-laptop-konsumer-463c7pa463c8pa-14-fhd-amd-ryzen-7-5700u-8gb-amd-radeon-graphics-512gbssd-w10-gratis-upgrade-w11-i5584622136.html,Rp10.699.000,(6),Kota Jakarta Utara
Laptop Lenovo Thinkpad T400 R400 Ram 4gb Hardisk 500gb Promo Murah Bagus,//www.lazada.co.id/products/laptop-lenovo-thinkpad-t400-r400-ram-4gb-hardisk-500gb-promo-murah-bagus-i6223034347.html,Rp1.550.000,(44),Kota Jakarta Utara
LAPTOP LEPTOP ACER  RAM 4GB HDD 500GB 14 INC GENERASI BARU WINDOWS10  SIAP PAKAI,//www.lazada.co.id/products/laptop-leptop-acer-ram-4gb-hdd-500gb-14-inc-generasi-baru-windows10-siap-pakai-i6294990318.html,Rp2.414.534,(2),Kota Jakarta Timur
"Victus by HP16-e0084AX & e0085AX & e0086AX Silver,Blue,White Laptop Gaming (492K2PA/492K3PA/492N7PA) / 16.1"" FHD 1920x1080 / AMD Ryzen™ 7 5800H / 16GB / NVIDIA® GeForce RTX™3060 / 512GBSSD / W10",//www.lazada.co.id/products/victus-by-hp16-e0084ax-e0085ax-e0086ax-silverbluewhite-laptop-gaming-492k2pa492k3pa492n7pa-161-fhd-1920x1080-amd-ryzen-7-5800h-16gb-nvidia-geforce-rtx3060-512gbssd-w10-i5912942327.html,Rp17.899.000,,Kota Jakarta Utara
"MSI MODERN 14 B5M [9S7-14DL24-069] Ryzen 5 5500U 8GB 512GB 14"" FHD W11",//www.lazada.co.id/products/msi-modern-14-b5m-9s7-14dl24-069-ryzen-5-5500u-8gb-512gb-14-fhd-w11-i5885058343.html,Rp9.699.000,,Kota Jakarta Selatan
Laptop Leptop Second Seken bekas Acer Aspire 4 gb 4gb Murah brkualitas,//www.lazada.co.id/products/laptop-leptop-second-seken-bekas-acer-aspire-4-gb-4gb-murah-brkualitas-i6094640803.html,Rp1.955.584,(4),Kota Jakarta Timur
"LAPTOP ASUS L510MA-WB04 15.6"" Backlit / N4020 / 4GB RAM / 128GB / Intel Uhd Graphics / Windows 10 - Star Black (Free tas Laptop Exlusive)",//www.lazada.co.id/products/laptop-asus-l510ma-wb04-156-backlit-n4020-4gb-ram-128gb-intel-uhd-graphics-windows-10-star-black-free-tas-laptop-exlusive-i764248068.html,Rp4.629.834,(26),Kota Surabaya
LAPTOP LENOVO THINKPAD T420 i5 RAM 16 GB SSD 512 GB PROMO MURAH,//www.lazada.co.id/products/laptop-lenovo-thinkpad-t420-i5-ram-16-gb-ssd-512-gb-promo-murah-i6711370338.html,Rp2.490.000,(1),Kota Jakarta Utara
Laptop Lenovo Thinkpad X250 Core i5 Gen 5,//www.lazada.co.id/products/laptop-lenovo-thinkpad-x250-core-i5-gen-5-i4686218437.html,Rp2.650.000,(4),Kota Jakarta Pusat
